District #,District,School #,School,Grade,White,Black or African American,Hispanic/Latino,Asian,Native Hawaiian or Other Pacific Islander,American Indian or Alaska Native,Two or More Races,TOTAL
01,ALACHUA,0221,A. L. MEBANE MIDDLE SCHOOL,6,61,40,16,**, ,**,**,117
01,ALACHUA,0221,A. L. MEBANE MIDDLE SCHOOL,7,55,39,**,**, , ,**,94
01,ALACHUA,0221,A. L. MEBANE MIDDLE SCHOOL,8,68,43,14,**, ,**,13,138
01,ALACHUA,0052,A.QUINN JONES CENTER,6,**,**, , , , , ,0
01,ALACHUA,0052,A.QUINN JONES CENTER,7,**,16, , , , , ,16
01,ALACHUA,0052,A.QUINN JONES CENTER,8,**,19, , , , ,**,19
01,ALACHUA,0052,A.QUINN JONES CENTER,9,**,20, , , ,**,**,20
01,ALACHUA,0052,A.QUINN JONES CENTER,10, ,**, , , , , ,0
01,ALACHUA,0052,A.QUINN JONES CENTER,11, ,**, , , , , ,0
01,ALACHUA,0052,A.QUINN JONES CENTER,12,**, , , , , , ,0
01,ALACHUA,0112,ABRAHAM LINCOLN MIDDLE SCHOOL,6,58,130,**,41, , ,**,229
01,ALACHUA,0112,ABRAHAM LINCOLN MIDDLE SCHOOL,7,50,122,11,50,**,**,11,244
01,ALACHUA,0112,ABRAHAM LINCOLN MIDDLE SCHOOL,8,61,107,**,39,**,**,**,207
01,ALACHUA,0602,ALACHUA ACADEMY,8,**,**,**, , , , ,0
01,ALACHUA,0602,ALACHUA ACADEMY,9,**,**,**, , , , ,0
01,ALACHUA,0602,ALACHUA ACADEMY,10,**,**, , , , ,**,0
01,ALACHUA,0602,ALACHUA ACADEMY,12,**,**, , , , , ,0
01,ALACHUA,0161,ALACHUA ELEMENTARY SCHOOL,3,71,65,21,**, , ,13,170
01,ALACHUA,0161,ALACHUA ELEMENTARY SCHOOL,4,55,39,**, , ,**,**,94
01,ALACHUA,0161,ALACHUA ELEMENTARY SCHOOL,5,60,36,11,**,**,**,**,107
01,ALACHUA,7004,ALACHUA ESCHOOL (VIRTUAL FRANCHISE),6,**,**, , , , , ,0
01,ALACHUA,7004,ALACHUA ESCHOOL (VIRTUAL FRANCHISE),7,11,**, , , , ,**,11
01,ALACHUA,7004,ALACHUA ESCHOOL (VIRTUAL FRANCHISE),8,**,**,**, , , , ,0
01,ALACHUA,7004,ALACHUA ESCHOOL (VIRTUAL FRANCHISE),9,10,**, , , , ,**,10
01,ALACHUA,7004,ALACHUA ESCHOOL (VIRTUAL FRANCHISE),10,14,**, , , , ,**,14
01,ALACHUA,7004,ALACHUA ESCHOOL (VIRTUAL FRANCHISE),11,16,**,**, , , , ,16
01,ALACHUA,7004,ALACHUA ESCHOOL (VIRTUAL FRANCHISE),12,12,**, , , , ,**,12
01,ALACHUA,0957,ALACHUA LEARNING ACADEMY ELEMENTARY,KG,12, ,**, , , ,**,12
01,ALACHUA,0957,ALACHUA LEARNING ACADEMY ELEMENTARY,1,**,**,**, , , ,**,0
01,ALACHUA,0957,ALACHUA LEARNING ACADEMY ELEMENTARY,2,10,**,**, , , ,**,10
01,ALACHUA,0957,ALACHUA LEARNING ACADEMY ELEMENTARY,3,14,**,**,**, , ,**,14
01,ALACHUA,0957,ALACHUA LEARNING ACADEMY ELEMENTARY,4,16,**,**,**, , ,**,16
01,ALACHUA,0957,ALACHUA LEARNING ACADEMY ELEMENTARY,5,12,**,**, , , ,**,12
01,ALACHUA,1011,ALACHUA LEARNING ACADEMY MIDDLE,6,10, ,**,**, , ,**,10
01,ALACHUA,1011,ALACHUA LEARNING ACADEMY MIDDLE,7,14,**,**, , , ,**,14
01,ALACHUA,1011,ALACHUA LEARNING ACADEMY MIDDLE,8,**,**,**,**, , ,**,0
01,ALACHUA,9029,ALACHUA REGIONAL JUVENILE DETENTION CENTER,5,**, , , , , , ,0
01,ALACHUA,9029,ALACHUA REGIONAL JUVENILE DETENTION CENTER,7,**, , , , , , ,0
01,ALACHUA,9029,ALACHUA REGIONAL JUVENILE DETENTION CENTER,8, ,**,**, , , , ,0
01,ALACHUA,9029,ALACHUA REGIONAL JUVENILE DETENTION CENTER,9,**,**, , , , , ,0
01,ALACHUA,9029,ALACHUA REGIONAL JUVENILE DETENTION CENTER,10, ,**, , , , , ,0
01,ALACHUA,9029,ALACHUA REGIONAL JUVENILE DETENTION CENTER,11,**,**, , , , , ,0
01,ALACHUA,9029,ALACHUA REGIONAL JUVENILE DETENTION CENTER,12, ,**, , , , , ,0
01,ALACHUA,7023,ALACHUA VIRTUAL INSTRUC PROG(DIST PROVIDED),KG,**, ,**, , , , ,0
01,ALACHUA,7023,ALACHUA VIRTUAL INSTRUC PROG(DIST PROVIDED),1,**, , , , , , ,0
01,ALACHUA,7023,ALACHUA VIRTUAL INSTRUC PROG(DIST PROVIDED),2,**,**, , , , , ,0
01,ALACHUA,7023,ALACHUA VIRTUAL INSTRUC PROG(DIST PROVIDED),3,**, ,**, , , ,**,0
01,ALACHUA,7023,ALACHUA VIRTUAL INSTRUC PROG(DIST PROVIDED),4,**, ,**, , , ,**,0
01,ALACHUA,7023,ALACHUA VIRTUAL INSTRUC PROG(DIST PROVIDED),5,**,**,**, , , ,**,0
01,ALACHUA,0603,AMIKIDS,6,**,**, , , , , ,0
01,ALACHUA,0603,AMIKIDS,7, ,**, , , , , ,0
01,ALACHUA,0603,AMIKIDS,8,**,10, , , , ,**,10
01,ALACHUA,0603,AMIKIDS,9,**,**, , , , , ,0
01,ALACHUA,0603,AMIKIDS,10, ,**, , , , , ,0
01,ALACHUA,0603,AMIKIDS,11, ,**,**, , , , ,0
01,ALACHUA,0603,AMIKIDS,12,**,**, , , , , ,0
01,ALACHUA,0171,ARCHER ELEMENTARY,PK,**,13,**, , , ,**,13
01,ALACHUA,0171,ARCHER ELEMENTARY,KG,47,15,13,**, , ,**,75
01,ALACHUA,0171,ARCHER ELEMENTARY,1,36,18,10,**, ,**,**,64
01,ALACHUA,0171,ARCHER ELEMENTARY,2,42,18,**,**, , ,**,60
01,ALACHUA,0171,ARCHER ELEMENTARY,3,50,23,**,**, , ,**,73
01,ALACHUA,0171,ARCHER ELEMENTARY,4,60,15,**,**, , ,**,75
01,ALACHUA,0171,ARCHER ELEMENTARY,5,45,20,**,**, , ,**,65
01,ALACHUA,1012,BOULWARE SPRINGS CHARTER,KG,**,13,**, , , ,**,13
01,ALACHUA,1012,BOULWARE SPRINGS CHARTER,1,**,18,**, , , , ,18
01,ALACHUA,1012,BOULWARE SPRINGS CHARTER,2,**,22,**, , , ,**,22
01,ALACHUA,1012,BOULWARE SPRINGS CHARTER,3,**,20,**, , , ,**,20
01,ALACHUA,1012,BOULWARE SPRINGS CHARTER,4,**,13,**, , , ,**,13
01,ALACHUA,1012,BOULWARE SPRINGS CHARTER,5,**,16,**, , , ,**,16
01,ALACHUA,0541,C. W. NORTON ELEMENTARY SCHOOL,PK,**,**,**,**, , ,**,0
01,ALACHUA,0541,C. W. NORTON ELEMENTARY SCHOOL,KG,58,36,13,**, , ,13,120
01,ALACHUA,0541,C. W. NORTON ELEMENTARY SCHOOL,1,46,34,**,**, , ,11,91
01,ALACHUA,0541,C. W. NORTON ELEMENTARY SCHOOL,2,45,42,11,**, , ,11,109
01,ALACHUA,0541,C. W. NORTON ELEMENTARY SCHOOL,3,59,28,11,**, , ,13,111
01,ALACHUA,0541,C. W. NORTON ELEMENTARY SCHOOL,4,40,35,**,**, , ,**,75
01,ALACHUA,0541,C. W. NORTON ELEMENTARY SCHOOL,5,44,33,**,**, , ,13,90
01,ALACHUA,0953,CARING & SHARING LEARNING SCHOOL,KG, ,26, , , , , ,26
01,ALACHUA,0953,CARING & SHARING LEARNING SCHOOL,1, ,26, , , , , ,26
01,ALACHUA,0953,CARING & SHARING LEARNING SCHOOL,2, ,17, , , , , ,17
01,ALACHUA,0953,CARING & SHARING LEARNING SCHOOL,3, ,26,**, , , ,**,26
01,ALACHUA,0953,CARING & SHARING LEARNING SCHOOL,4, ,17, , , , , ,17
01,ALACHUA,0953,CARING & SHARING LEARNING SCHOOL,5, ,19,**, , , , ,19
01,ALACHUA,0953,CARING & SHARING LEARNING SCHOOL,6, ,12, , , , ,**,12
01,ALACHUA,0281,CHESTER SHELL ELEMENTARY SCHL,PK,**,13,**, , , , ,13
01,ALACHUA,0281,CHESTER SHELL ELEMENTARY SCHL,KG,26,19,**, , ,**,**,45
01,ALACHUA,0281,CHESTER SHELL ELEMENTARY SCHL,1,29,15,**, , , ,**,44
01,ALACHUA,0281,CHESTER SHELL ELEMENTARY SCHL,2,37,13,**, , , ,**,50
01,ALACHUA,0281,CHESTER SHELL ELEMENTARY SCHL,3,35,21,**, , ,**,**,56
01,ALACHUA,0281,CHESTER SHELL ELEMENTARY SCHL,4,31,19,**, , , ,**,50
01,ALACHUA,0281,CHESTER SHELL ELEMENTARY SCHL,5,32,19,**, , , ,**,51
01,ALACHUA,0022,EARLY LEARNING ACADEMY AT DUVAL,PK,20,239,12,**, , ,**,271
01,ALACHUA,0022,EARLY LEARNING ACADEMY AT DUVAL,KG,**,136,**, , ,**,**,136
01,ALACHUA,0421,EASTSIDE HIGH SCHOOL,9,87,197,16,34, ,**,22,356
01,ALACHUA,0421,EASTSIDE HIGH SCHOOL,10,94,176,28,35, ,**,17,350
01,ALACHUA,0421,EASTSIDE HIGH SCHOOL,11,94,165,19,46, ,**,19,343
01,ALACHUA,0421,EASTSIDE HIGH SCHOOL,12,86,178,14,50, ,**,20,348
01,ALACHUA,0956,EXPRESSIONS LEARNING ARTS ACAD,KG,11, ,**, , , ,**,11
01,ALACHUA,0956,EXPRESSIONS LEARNING ARTS ACAD,1,12,**,**,**, , , ,12
01,ALACHUA,0956,EXPRESSIONS LEARNING ARTS ACAD,2,13,**,**,**, , , ,13
01,ALACHUA,0956,EXPRESSIONS LEARNING ARTS ACAD,3,12, ,**, , , ,**,12
01,ALACHUA,0956,EXPRESSIONS LEARNING ARTS ACAD,4,**, ,**, , , ,**,0
01,ALACHUA,0956,EXPRESSIONS LEARNING ARTS ACAD,5,12, , , , , , ,12
01,ALACHUA,0431,F. W. BUCHHOLZ HIGH SCHOOL,8,**, , , , , , ,0
01,ALACHUA,0431,F. W. BUCHHOLZ HIGH SCHOOL,9,314,120,44,35, , ,32,545
01,ALACHUA,0431,F. W. BUCHHOLZ HIGH SCHOOL,10,310,146,75,37, ,**,40,608
01,ALACHUA,0431,F. W. BUCHHOLZ HIGH SCHOOL,11,326,92,66,41, ,**,23,548
01,ALACHUA,0431,F. W. BUCHHOLZ HIGH SCHOOL,12,317,102,61,39,**,**,24,543
01,ALACHUA,0492,FEARNSIDE FAMILY SERVICES CENTER,PK, ,48,**, , , ,**,48
01,ALACHUA,0481,FORT CLARKE MIDDLE SCHOOL,6,162,99,44,16,**, ,25,346
01,ALACHUA,0481,FORT CLARKE MIDDLE SCHOOL,7,149,81,31,22, , ,11,294
01,ALACHUA,0481,FORT CLARKE MIDDLE SCHOOL,8,147,76,36,13, , ,28,300
01,ALACHUA,0151,GAINESVILLE HIGH SCHOOL,9,215,172,47,19, , ,32,485
01,ALACHUA,0151,GAINESVILLE HIGH SCHOOL,10,201,153,65,16, , ,34,469
01,ALACHUA,0151,GAINESVILLE HIGH SCHOOL,11,181,157,49,30, ,**,39,456
01,ALACHUA,0151,GAINESVILLE HIGH SCHOOL,12,199,120,47,19, , ,19,404
01,ALACHUA,0958,GENESIS PREPARATORY SCHOOL,KG, ,19, , , , ,**,19
01,ALACHUA,0958,GENESIS PREPARATORY SCHOOL,1, ,12, , , , ,**,12
01,ALACHUA,0958,GENESIS PREPARATORY SCHOOL,2, ,14, , , , ,**,14
01,ALACHUA,0958,GENESIS PREPARATORY SCHOOL,3, ,12,**, , , ,**,12
01,ALACHUA,0331,GLEN SPRINGS ELEMENTARY SCHOOL,PK, ,**, , , , , ,0
01,ALACHUA,0331,GLEN SPRINGS ELEMENTARY SCHOOL,KG,42,28,**,**, , ,**,70
01,ALACHUA,0331,GLEN SPRINGS ELEMENTARY SCHOOL,1,46,21,**, , ,**,**,67
01,ALACHUA,0331,GLEN SPRINGS ELEMENTARY SCHOOL,2,39,21,11,**, , ,**,71
01,ALACHUA,0331,GLEN SPRINGS ELEMENTARY SCHOOL,3,49,30,**,**, , ,**,79
01,ALACHUA,0331,GLEN SPRINGS ELEMENTARY SCHOOL,4,40,28,**,**, ,**,**,68
01,ALACHUA,0331,GLEN SPRINGS ELEMENTARY SCHOOL,5,39,28,**,**, , ,**,67
01,ALACHUA,0201,HAWTHORNE MIDDLE/HIGH SCHOOL,6,26,11,**, , , ,**,37
01,ALACHUA,0201,HAWTHORNE MIDDLE/HIGH SCHOOL,7,22,13,**, , , ,**,35
01,ALACHUA,0201,HAWTHORNE MIDDLE/HIGH SCHOOL,8,19,16,**, , , ,**,35
01,ALACHUA,0201,HAWTHORNE MIDDLE/HIGH SCHOOL,9,29,17,**, , , , ,46
01,ALACHUA,0201,HAWTHORNE MIDDLE/HIGH SCHOOL,10,20,23,**, , , ,**,43
01,ALACHUA,0201,HAWTHORNE MIDDLE/HIGH SCHOOL,11,35,13,**, , , , ,48
01,ALACHUA,0201,HAWTHORNE MIDDLE/HIGH SCHOOL,12,16,13, , , , ,**,29
01,ALACHUA,0981,HEALTHY LEARNING ACADEMY CHARTER SCHOOL,KG,15,**,**, , , , ,15
01,ALACHUA,0981,HEALTHY LEARNING ACADEMY CHARTER SCHOOL,1,14, ,**,**, , ,**,14
01,ALACHUA,0981,HEALTHY LEARNING ACADEMY CHARTER SCHOOL,2,14, ,**,**, , ,**,14
01,ALACHUA,0981,HEALTHY LEARNING ACADEMY CHARTER SCHOOL,3,**,**,**,**, , ,**,0
01,ALACHUA,0981,HEALTHY LEARNING ACADEMY CHARTER SCHOOL,4,14,**,**, , , ,**,14
01,ALACHUA,0981,HEALTHY LEARNING ACADEMY CHARTER SCHOOL,5,10,**,**, , , ,**,10
01,ALACHUA,0482,HIDDEN OAK ELEMENTARY SCHOOL,PK,14,**,**,**, , ,**,14
01,ALACHUA,0482,HIDDEN OAK ELEMENTARY SCHOOL,KG,63,32,16,10,**, ,11,132
01,ALACHUA,0482,HIDDEN OAK ELEMENTARY SCHOOL,1,51,21,12,20, , ,**,104
01,ALACHUA,0482,HIDDEN OAK ELEMENTARY SCHOOL,2,73,27,14,15, , ,10,139
01,ALACHUA,0482,HIDDEN OAK ELEMENTARY SCHOOL,3,68,25,17,13, ,**,10,133
01,ALACHUA,0482,HIDDEN OAK ELEMENTARY SCHOOL,4,63,21,21,12, , ,10,127
01,ALACHUA,0482,HIDDEN OAK ELEMENTARY SCHOOL,5,61,24,14,16, , ,**,115
01,ALACHUA,0461,HIGH SPRINGS COMMUNITY SCHOOL,PK,**,**,**, , , ,**,0
01,ALACHUA,0461,HIGH SPRINGS COMMUNITY SCHOOL,KG,61,**,11,**, ,**,**,72
01,ALACHUA,0461,HIGH SPRINGS COMMUNITY SCHOOL,1,86,12,13, , , ,**,111
01,ALACHUA,0461,HIGH SPRINGS COMMUNITY SCHOOL,2,67,**,**,**, , ,**,67
01,ALACHUA,0461,HIGH SPRINGS COMMUNITY SCHOOL,3,77,**,14,**, ,**,**,91
01,ALACHUA,0461,HIGH SPRINGS COMMUNITY SCHOOL,4,55,15,12,**, , ,**,82
01,ALACHUA,0461,HIGH SPRINGS COMMUNITY SCHOOL,5,72,16,**, , , ,**,88
01,ALACHUA,0461,HIGH SPRINGS COMMUNITY SCHOOL,6,70,11,**,**, , ,**,81
01,ALACHUA,0461,HIGH SPRINGS COMMUNITY SCHOOL,7,73,11,**,**, ,**,**,84
01,ALACHUA,0461,HIGH SPRINGS COMMUNITY SCHOOL,8,81,10,10, , , ,**,101
01,ALACHUA,0082,HOSPITAL HOMEBOUND,PK, , ,**, , , , ,0
01,ALACHUA,0082,HOSPITAL HOMEBOUND,2,**,**, , , , , ,0
01,ALACHUA,0082,HOSPITAL HOMEBOUND,3, ,**, , , , ,**,0
01,ALACHUA,0082,HOSPITAL HOMEBOUND,4,**, , , , , , ,0
01,ALACHUA,0082,HOSPITAL HOMEBOUND,5, ,**, , , , , ,0
01,ALACHUA,0082,HOSPITAL HOMEBOUND,6,**,**, , , , , ,0
01,ALACHUA,0082,HOSPITAL HOMEBOUND,7,**, , , , , ,**,0
01,ALACHUA,0082,HOSPITAL HOMEBOUND,8,**, , , , , , ,0
01,ALACHUA,0082,HOSPITAL HOMEBOUND,9, ,**, , , , , ,0
01,ALACHUA,0082,HOSPITAL HOMEBOUND,10,**, , , , , , ,0
01,ALACHUA,0082,HOSPITAL HOMEBOUND,11, ,**, , , , , ,0
01,ALACHUA,0082,HOSPITAL HOMEBOUND,12,**,**, , , , , ,0
01,ALACHUA,0121,HOWARD W. BISHOP MIDDLE SCHOOL,6,68,134,**,**,**, ,17,219
01,ALACHUA,0121,HOWARD W. BISHOP MIDDLE SCHOOL,7,69,111,13,17,**,**,18,228
01,ALACHUA,0121,HOWARD W. BISHOP MIDDLE SCHOOL,8,77,137,12,11, ,**,16,253
01,ALACHUA,0321,IDYLWILD ELEMENTARY SCHOOL,KG,32,69,17,12, , ,**,130
01,ALACHUA,0321,IDYLWILD ELEMENTARY SCHOOL,1,31,86,18,**,**,**,**,135
01,ALACHUA,0321,IDYLWILD ELEMENTARY SCHOOL,2,24,83,29,**,**, ,**,136
01,ALACHUA,0321,IDYLWILD ELEMENTARY SCHOOL,3,26,87,12,**,**, ,**,125
01,ALACHUA,0321,IDYLWILD ELEMENTARY SCHOOL,4,25,68,21,**,**, ,**,114
01,ALACHUA,0321,IDYLWILD ELEMENTARY SCHOOL,5,17,65,11,**,**, ,**,93
01,ALACHUA,0031,J. J. FINLEY ELEMENTARY SCHOOL,KG,44,26,15,22, ,**,**,107
01,ALACHUA,0031,J. J. FINLEY ELEMENTARY SCHOOL,1,40,22,17,**, , ,**,79
01,ALACHUA,0031,J. J. FINLEY ELEMENTARY SCHOOL,2,34,37,25,13, , ,**,109
01,ALACHUA,0031,J. J. FINLEY ELEMENTARY SCHOOL,3,25,29,28,11, , ,**,93
01,ALACHUA,0031,J. J. FINLEY ELEMENTARY SCHOOL,4,42,29,24,15, , ,**,110
01,ALACHUA,0031,J. J. FINLEY ELEMENTARY SCHOOL,5,34,32,25,12, , ,**,103
01,ALACHUA,0111,JOSEPH WILLIAMS ELEM. SCHOOL,KG,**,69,**, , , ,**,69
01,ALACHUA,0111,JOSEPH WILLIAMS ELEM. SCHOOL,1,**,83,**, , , ,**,83
01,ALACHUA,0111,JOSEPH WILLIAMS ELEM. SCHOOL,2,10,83,**,16, , ,**,109
01,ALACHUA,0111,JOSEPH WILLIAMS ELEM. SCHOOL,3,16,81,**,14, , ,**,111
01,ALACHUA,0111,JOSEPH WILLIAMS ELEM. SCHOOL,4,13,84,**,14, , ,**,111
01,ALACHUA,0111,JOSEPH WILLIAMS ELEM. SCHOOL,5,20,65,**,12, ,**,**,97
01,ALACHUA,0502,KANAPAHA MIDDLE SCHOOL,6,149,95,37,15, ,**,26,322
01,ALACHUA,0502,KANAPAHA MIDDLE SCHOOL,7,141,106,40,21,**,**,29,337
01,ALACHUA,0502,KANAPAHA MIDDLE SCHOOL,8,147,78,45,16,**, ,21,307
01,ALACHUA,0501,KIMBALL WILES ELEM. SCHOOL,PK,**, , , , , , ,0
01,ALACHUA,0501,KIMBALL WILES ELEM. SCHOOL,KG,66,35,24,21, ,**,10,156
01,ALACHUA,0501,KIMBALL WILES ELEM. SCHOOL,1,52,27,29,22, ,**,10,140
01,ALACHUA,0501,KIMBALL WILES ELEM. SCHOOL,2,69,28,21,13, , ,11,142
01,ALACHUA,0501,KIMBALL WILES ELEM. SCHOOL,3,58,36,17,16, , ,12,139
01,ALACHUA,0501,KIMBALL WILES ELEM. SCHOOL,4,54,29,15,30, , ,11,139
01,ALACHUA,0501,KIMBALL WILES ELEM. SCHOOL,5,45,19,15,20, , ,**,99
01,ALACHUA,0071,LAKE FOREST ELEMENTARY SCHOOL,PK,**,30,**, , , ,**,30
01,ALACHUA,0071,LAKE FOREST ELEMENTARY SCHOOL,KG,**,41,**, , , ,**,41
01,ALACHUA,0071,LAKE FOREST ELEMENTARY SCHOOL,1,**,50,**, , , ,**,50
01,ALACHUA,0071,LAKE FOREST ELEMENTARY SCHOOL,2,**,43,**, , , ,**,43
01,ALACHUA,0071,LAKE FOREST ELEMENTARY SCHOOL,3,12,55,**, , , ,**,67
01,ALACHUA,0071,LAKE FOREST ELEMENTARY SCHOOL,4,**,32, , , , ,**,32
01,ALACHUA,0071,LAKE FOREST ELEMENTARY SCHOOL,5,**,28,**, , , ,**,28
01,ALACHUA,0510,LAWTON M. CHILES ELEM. SCHOOL,PK,**, , , , , , ,0
01,ALACHUA,0510,LAWTON M. CHILES ELEM. SCHOOL,KG,60,27,10,**, , ,**,97
01,ALACHUA,0510,LAWTON M. CHILES ELEM. SCHOOL,1,57,41,10,**, ,**,**,108
01,ALACHUA,0510,LAWTON M. CHILES ELEM. SCHOOL,2,61,32,**,**, , ,**,93
01,ALACHUA,0510,LAWTON M. CHILES ELEM. SCHOOL,3,57,37,10,**, ,**,10,114
01,ALACHUA,0510,LAWTON M. CHILES ELEM. SCHOOL,4,63,28,**,13, , ,11,115
01,ALACHUA,0510,LAWTON M. CHILES ELEM. SCHOOL,5,68,28,14,**, , ,**,110
01,ALACHUA,0091,LITTLEWOOD ELEMENTARY SCHOOL,PK,**,**,**,**, , ,**,0
01,ALACHUA,0091,LITTLEWOOD ELEMENTARY SCHOOL,KG,68,31,26,**, , ,**,125
01,ALACHUA,0091,LITTLEWOOD ELEMENTARY SCHOOL,1,49,50,13,**, , ,11,123
01,ALACHUA,0091,LITTLEWOOD ELEMENTARY SCHOOL,2,49,30,14,**, ,**,15,108
01,ALACHUA,0091,LITTLEWOOD ELEMENTARY SCHOOL,3,41,35,16,**, , ,**,92
01,ALACHUA,0091,LITTLEWOOD ELEMENTARY SCHOOL,4,53,31,12,**, , ,10,106
01,ALACHUA,0091,LITTLEWOOD ELEMENTARY SCHOOL,5,43,33,10,**, , ,**,86
01,ALACHUA,0341,MARJORIE KINNAN RAWLINGS ELEM,PK,**,**, , , , , ,0
01,ALACHUA,0341,MARJORIE KINNAN RAWLINGS ELEM,KG, ,**, , , , , ,0
01,ALACHUA,0341,MARJORIE KINNAN RAWLINGS ELEM,1,**,47,**, , ,**,**,47
01,ALACHUA,0341,MARJORIE KINNAN RAWLINGS ELEM,2,**,40,**, , , ,**,40
01,ALACHUA,0341,MARJORIE KINNAN RAWLINGS ELEM,3, ,51,**, , , , ,51
01,ALACHUA,0341,MARJORIE KINNAN RAWLINGS ELEM,4,**,38,**, , , ,**,38
01,ALACHUA,0341,MARJORIE KINNAN RAWLINGS ELEM,5, ,49,**, , , ,**,49
01,ALACHUA,0520,MEADOWBROOK ELEMENTARY SCHOOL,KG,78,17,14,10, , ,**,119
01,ALACHUA,0520,MEADOWBROOK ELEMENTARY SCHOOL,1,78,25,13,16, , ,17,149
01,ALACHUA,0520,MEADOWBROOK ELEMENTARY SCHOOL,2,72,28,18,**, , ,10,128
01,ALACHUA,0520,MEADOWBROOK ELEMENTARY SCHOOL,3,83,29,**,**,**, ,11,123
01,ALACHUA,0520,MEADOWBROOK ELEMENTARY SCHOOL,4,65,25,21,**, , ,14,125
01,ALACHUA,0520,MEADOWBROOK ELEMENTARY SCHOOL,5,65,32,19,**, , ,**,116
01,ALACHUA,0951,"MICANOPY AREA COOPERATIVE SCHOOL, INC.",PK,19, ,**, , , , ,19
01,ALACHUA,0951,"MICANOPY AREA COOPERATIVE SCHOOL, INC.",KG,31,**,**, , , ,**,31
01,ALACHUA,0951,"MICANOPY AREA COOPERATIVE SCHOOL, INC.",1,28,**,**, , , ,**,28
01,ALACHUA,0951,"MICANOPY AREA COOPERATIVE SCHOOL, INC.",2,22,**,**, , , ,**,22
01,ALACHUA,0951,"MICANOPY AREA COOPERATIVE SCHOOL, INC.",3,25,**,**,**, , ,**,25
01,ALACHUA,0951,"MICANOPY AREA COOPERATIVE SCHOOL, INC.",4,28,**,**, , , ,**,28
01,ALACHUA,0951,"MICANOPY AREA COOPERATIVE SCHOOL, INC.",5,11,**,**,**, , ,**,11
01,ALACHUA,0961,"MICANOPY MIDDLE SCHOOL, INC.",6,13,**, , , , , ,13
01,ALACHUA,0961,"MICANOPY MIDDLE SCHOOL, INC.",7,11,**,**, , , ,**,11
01,ALACHUA,0961,"MICANOPY MIDDLE SCHOOL, INC.",8,14,**,**, , , ,**,14
01,ALACHUA,0961,"MICANOPY MIDDLE SCHOOL, INC.",9,**,**, , , , , ,0
01,ALACHUA,1003,MYCROSCHOOL GAINESVILLE,8,**,**, , , , , ,0
01,ALACHUA,1003,MYCROSCHOOL GAINESVILLE,9,**,11, , , , ,**,11
01,ALACHUA,1003,MYCROSCHOOL GAINESVILLE,10,**,13,**, , , ,**,13
01,ALACHUA,1003,MYCROSCHOOL GAINESVILLE,11,14,38,**, , , ,**,52
01,ALACHUA,1003,MYCROSCHOOL GAINESVILLE,12,22,64,10, , ,**,**,96
01,ALACHUA,0311,MYRA TERWILLIGER ELEM. SCHOOL,PK,15,91,15,**, , ,**,121
01,ALACHUA,0311,MYRA TERWILLIGER ELEM. SCHOOL,KG,17,50,17,**, , ,**,84
01,ALACHUA,0311,MYRA TERWILLIGER ELEM. SCHOOL,1,20,46,19,**, ,**,**,85
01,ALACHUA,0311,MYRA TERWILLIGER ELEM. SCHOOL,2,14,51,10,**, , ,13,88
01,ALACHUA,0311,MYRA TERWILLIGER ELEM. SCHOOL,3,16,61,11,**, , ,15,103
01,ALACHUA,0311,MYRA TERWILLIGER ELEM. SCHOOL,4,13,38,13, , , ,11,75
01,ALACHUA,0311,MYRA TERWILLIGER ELEM. SCHOOL,5,18,49,**,**, , ,10,77
01,ALACHUA,0531,NEWBERRY ELEMENTARY SCHOOL,PK,21,13,**, , , ,**,34
01,ALACHUA,0531,NEWBERRY ELEMENTARY SCHOOL,KG,67,16,10, , , ,**,93
01,ALACHUA,0531,NEWBERRY ELEMENTARY SCHOOL,1,78,17,18,**,**, ,12,125
01,ALACHUA,0531,NEWBERRY ELEMENTARY SCHOOL,2,67,24,12,**, , ,12,115
01,ALACHUA,0531,NEWBERRY ELEMENTARY SCHOOL,3,64,19,24, , , ,**,107
01,ALACHUA,0531,NEWBERRY ELEMENTARY SCHOOL,4,71,17,11,**, , ,**,99
01,ALACHUA,0261,NEWBERRY HIGH SCHOOL,9,107,33,18,**, ,**,12,170
01,ALACHUA,0261,NEWBERRY HIGH SCHOOL,10,113,32,11,**, ,**,**,156
01,ALACHUA,0261,NEWBERRY HIGH SCHOOL,11,121,41,14,**, ,**,10,186
01,ALACHUA,0261,NEWBERRY HIGH SCHOOL,12,89,32,10,**, ,**,**,131
01,ALACHUA,0591,OAK VIEW MIDDLE SCHOOL,5,72,20,14,**,**, ,10,116
01,ALACHUA,0591,OAK VIEW MIDDLE SCHOOL,6,160,35,20,**, , ,19,234
01,ALACHUA,0591,OAK VIEW MIDDLE SCHOOL,7,152,32,19,**,**, ,13,216
01,ALACHUA,0591,OAK VIEW MIDDLE SCHOOL,8,148,38,17,**, , ,10,213
01,ALACHUA,1010,ONE ROOM MIDDLE SCHOOL,6,**,**, ,**, , ,**,0
01,ALACHUA,1010,ONE ROOM MIDDLE SCHOOL,7,**,**,**, , , , ,0
01,ALACHUA,1010,ONE ROOM MIDDLE SCHOOL,8,**,**,**, , , ,**,0
01,ALACHUA,0604,PACE,6, ,**, , , , , ,0
01,ALACHUA,0604,PACE,7,**,**, , , , , ,0
01,ALACHUA,0604,PACE,8,**,**,**, , , , ,0
01,ALACHUA,0604,PACE,9,**,**,**, , , ,**,0
