"District..","School..","District.x","School","BlackEnrollment","WhiteEnrollment","HispanicEnrollment","TotalEnrollment","PercentBlack","PercentWhite","District.Name","Discipline.School.Name","BlackStudentsPunished","WhiteStudentsPunished","HispanicStudentsPunished","TotalPunished","BlackStudentsPercentOfPunished","District.y","School.Name","White","Black.or.African.American","Hispanic.Latino","Asian","American.Indian.or.Alaska.Native","Native.Hawaiian.or.Other.Pacific.Islander","Two.or.More.Races","TotalTeachers","PercentWhiteTeachers","PercentOfBlackStudentsPunished","PercentOfWhiteStudentsPunished","PercentOfNonBlackStudentsPunished","PunishmentDisparityBlackVsWhite","PunishmentDisparityBlackVsNonBlack","PunishmentDisproportion","TeacherStudentRatio"
11,282,"COLLIER","LORENZO WALKER TECHNICAL HIGH SCHOOL",69,112,389,570,0.121052631578947,0.196491228070175,"COLLIER","LORENZO WALKER TECHNICAL HIGH SCHOOL",0,2,10,12,0,"COLLIER","LORENZO WALKER TECHNICAL HIGH SCHOOL",25,1,2,0,0,0,0,28,0.892857142857143,0,0.0178571428571429,0.0210526315789474,-0.0178571428571429,-0.0210526315789474,0.121052631578947,0.0491228070175439
11,311,"COLLIER","BARRON COLLIER HIGH SCHOOL",100,1061,442,1670,0.0598802395209581,0.635329341317365,"COLLIER","BARRON COLLIER HIGH SCHOOL",17,83,57,161,0.105590062111801,"COLLIER","BARRON COLLIER HIGH SCHOOL",69,3,8,0,0,0,0,80,0.8625,0.17,0.0782280867106503,0.0964071856287425,0.0917719132893497,0.0735928143712575,-0.0457098225908432,0.0479041916167665
11,321,"COLLIER","GOLDEN GATE MIDDLE SCHOOL",226,77,823,1126,0.200710479573712,0.0683836589698046,"COLLIER","GOLDEN GATE MIDDLE SCHOOL",92,19,164,281,0.327402135231317,"COLLIER","GOLDEN GATE MIDDLE SCHOOL",58,2,9,1,0,0,2,72,0.805555555555556,0.407079646017699,0.246753246753247,0.24955595026643,0.160326399264452,0.157523695751269,-0.126691655657604,0.063943161634103
11,331,"COLLIER","BIG CYPRESS ELEMENTARY SCHOOL",74,393,406,873,0.0847651775486827,0.450171821305842,"COLLIER","BIG CYPRESS ELEMENTARY SCHOOL",2,4,4,10,0.2,"COLLIER","BIG CYPRESS ELEMENTARY SCHOOL",56,0,5,0,0,0,1,62,0.903225806451613,0.027027027027027,0.0101781170483461,0.011454753722795,0.016848909978681,0.0155722733042321,-0.115234822451317,0.0710194730813287
11,351,"COLLIER","GOLDEN TERRACE ELEMENTARY SCHL",143,11,732,886,0.161399548532731,0.0124153498871332,"COLLIER","GOLDEN TERRACE ELEMENTARY SCHOOL",7,0,8,15,0.466666666666667,"COLLIER","GOLDEN TERRACE ELEMENTARY SCHOOL",62,1,5,2,0,0,0,70,0.885714285714286,0.048951048951049,0,0.0169300225733634,0.048951048951049,0.0320210263776855,-0.305267118133935,0.0790067720090293
11,361,"COLLIER","IMMOKALEE MIDDLE SCHOOL",224,11,1120,1355,0.165313653136531,0.00811808118081181,"COLLIER","IMMOKALEE MIDDLE SCHOOL",138,9,439,604,0.228476821192053,"COLLIER","IMMOKALEE MIDDLE SCHOOL",59,8,13,1,0,0,3,84,0.702380952380952,0.616071428571429,0.818181818181818,0.445756457564576,-0.20211038961039,0.170314971006853,-0.0631631680555216,0.0619926199261993
11,371,"COLLIER","VINEYARDS ELEMENTARY SCHOOL",20,465,277,762,0.026246719160105,0.610236220472441,"COLLIER","VINEYARDS ELEMENTARY SCHOOL",0,0,0,0,NA,"COLLIER","VINEYARDS ELEMENTARY SCHOOL",48,2,7,1,0,0,1,59,0.813559322033898,0,0,0,0,0,NA,0.0774278215223097
11,381,"COLLIER","LELY ELEMENTARY SCHOOL",151,174,289,614,0.245928338762215,0.283387622149837,"COLLIER","LELY ELEMENTARY SCHOOL",40,23,14,83,0.481927710843373,"COLLIER","LELY ELEMENTARY SCHOOL",47,0,2,1,0,0,0,50,0.94,0.264900662251656,0.132183908045977,0.135179153094463,0.132716754205679,0.129721509157193,-0.235999372081159,0.0814332247557003
11,392,"COLLIER","GULF COAST HIGH SCHOOL",76,1495,494,2143,0.0354643023798413,0.69762015865609,"COLLIER","GULF COAST HIGH SCHOOL",9,168,68,263,0.0342205323193916,"COLLIER","GULF COAST HIGH SCHOOL",82,1,15,0,0,0,2,100,0.82,0.118421052631579,0.112374581939799,0.122725151656556,0.0060464706917796,-0.00430409902497729,0.00124377006044971,0.0466635557629491
11,401,"COLLIER","OAKRIDGE MIDDLE SCHOOL",57,659,301,1070,0.0532710280373832,0.61588785046729,"COLLIER","OAKRIDGE MIDDLE SCHOOL",16,36,27,81,0.197530864197531,"COLLIER","OAKRIDGE MIDDLE SCHOOL",51,2,4,0,0,0,2,59,0.864406779661017,0.280701754385965,0.0546282245827011,0.0757009345794393,0.226073529803264,0.205000819806526,-0.144259836160148,0.0551401869158879
