Dist #,District,Schl #,School Name,White,Black or African-American,Hispanic/Latino,Asian,American Indian or Alaska Native,Native Hawaiian or Other Pacific Islander,Two or More Races
02,BAKER,0013,MACCLENNY ELEMENTARY SCHOOL,41,0,0,0,0,0,1
02,BAKER,0022,PREK/KINDERGARTEN CENTER,28,1,1,0,0,0,0
02,BAKER,0031,J FRANKLYN KELLER INTERMEDIATE SCHOOL,37,1,0,0,0,0,1
02,BAKER,0032,BAKER COUNTY MIDDLE SCHOOL,68,2,0,0,0,0,0
02,BAKER,0091,WESTSIDE ELEMENTARY SCHOOL,37,1,0,0,0,0,0
02,BAKER,9001,BAKER DISTRICT OFFICE,2,0,0,0,0,0,0
03,BAY,0061,BAY HIGH SCHOOL,56,6,2,0,1,0,0
03,BAY,0071,MERRITT BROWN MIDDLE SCHOOL,42,2,0,1,0,0,0
03,BAY,0081,HUTCHISON BEACH ELEMENTARY SCHOOL,38,0,1,0,0,0,0
03,BAY,0091,CEDAR GROVE ELEMENTARY SCHOOL,39,2,0,0,1,0,0
03,BAY,0101,CALLAWAY ELEMENTARY SCHOOL,31,0,2,0,0,0,0
03,BAY,0111,MERRIAM CHERRY STREET ELEMENTARY,22,2,0,0,0,0,0
03,BAY,0131,LUCILLE MOORE ELEMENTARY SCHOOL,38,5,1,0,1,0,0
03,BAY,0141,EVERITT MIDDLE SCHOOL,35,5,3,0,2,0,0
03,BAY,0151,HILAND PARK ELEMENTARY SCHOOL,48,2,0,0,0,0,0
03,BAY,0161,JINKS MIDDLE SCHOOL,30,7,1,0,0,0,0
03,BAY,0171,LYNN HAVEN ELEMENTARY SCHOOL,45,3,0,0,0,0,0
03,BAY,0191,OAKLAND TERRACE SCHOOL FOR THE VISUAL AND PERFORMING ARTS,29,1,1,0,0,0,0
03,BAY,0201,SURFSIDE MIDDLE SCHOOL,46,1,0,0,0,0,0
03,BAY,0211,PARKER ELEMENTARY SCHOOL,31,5,2,0,0,0,0
03,BAY,0221,SOUTHPORT ELEMENTARY SCHOOL,25,0,1,0,0,0,0
03,BAY,0231,SPRINGFIELD ELEMENTARY SCHOOL,30,3,2,1,2,0,0
03,BAY,0241,ST. ANDREW SCHOOL,23,1,0,0,0,0,0
03,BAY,0251,WALLER ELEMENTARY SCHOOL,31,0,0,0,0,0,0
03,BAY,0262,WEST BAY ELEMENTARY SCHOOL,22,2,0,0,0,0,0
03,BAY,0281,MARGARET K. LEWIS IN MILLVILLE,24,1,0,0,0,0,0
03,BAY,0291,OSCAR PATTERSON ELEMENTARY MAGNET,16,7,1,1,0,0,0
03,BAY,0331,MOWAT MIDDLE SCHOOL,55,3,0,0,0,0,0
03,BAY,0341,RUTHERFORD HIGH SCHOOL,41,7,3,0,0,0,1
03,BAY,0461,DEER POINT ELEMENTARY SCHOOL,54,0,0,0,0,0,0
03,BAY,0471,NORTHSIDE ELEMENTARY SCHOOL,42,0,0,1,1,0,0
03,BAY,0481,TOM P. HANEY TECHNICAL CENTER,26,3,1,0,0,0,0
03,BAY,0491,A. CRAWFORD MOSLEY HIGH SCHOOL,77,1,1,1,0,0,0
03,BAY,0501,TYNDALL ELEMENTARY SCHOOL,47,1,2,0,0,0,0
03,BAY,0511,TOMMY SMITH ELEMENTARY SCHOOL,42,2,1,0,0,0,0
03,BAY,0521,PATRONIS ELEMENTARY SCHOOL,54,0,0,0,1,0,0
03,BAY,0531,NEW HORIZONS LEARNING CENTER,24,3,1,1,0,0,0
03,BAY,0541,DEANE BOZEMAN SCHOOL,75,0,1,0,0,0,0
03,BAY,0551,J.R. ARNOLD HIGH SCHOOL,74,2,2,0,0,0,0
03,BAY,0571,BREAKFAST POINT ACADEMY,77,1,2,0,0,0,0
03,BAY,0581,ROSENWALD HIGH SCHOOL,10,4,0,2,0,0,0
03,BAY,0591,C C WASHINGTON ACADEMY,3,5,0,0,0,0,0
03,BAY,0602,BAY REGIONAL JUVENILE DETENTION CENTER,2,0,0,0,0,0,0
03,BAY,0701,BAY HAVEN CHARTER ACADEMY,40,0,1,0,0,0,0
03,BAY,0711,BAY HAVEN CHARTER MIDDLE SCHOOL,27,0,0,2,0,0,0
03,BAY,0731,NORTH BAY HAVEN CHARTER ACADEMY MIDDLE SCHOOL,26,0,1,0,0,0,0
03,BAY,0741,NORTH BAY HAVEN CAREER ACADEMY,33,1,1,0,0,0,0
03,BAY,0751,NORTH BAY HAVEN CHARTER ACADEMY ELEMENTARY SCHOOL,41,1,0,0,0,0,0
03,BAY,0771,PALM BAY PREPARATORY ACADEMY 6-12,14,1,1,0,0,0,1
03,BAY,0781,CHAUTAUQUA CHARTER SCHOOL,4,0,0,0,0,0,0
03,BAY,0782,CENTRAL HIGH SCHOOL,4,0,0,0,0,0,0
03,BAY,2701,RISING LEADERS ACADEMY,10,0,0,0,0,0,0
03,BAY,2711,UNIVERSITY ACADEMY SABL INC,29,0,0,0,1,0,0
03,BAY,9001,BAY DISTRICT OFFICE,17,0,1,0,0,0,0
03,BAY,9002,EXCEPTIONAL STUDENT EDUCATION,5,0,0,0,0,0,0
04,BRADFORD,0021,BRADFORD HIGH SCHOOL,30,4,0,1,0,0,0
04,BRADFORD,0051,STARKE ELEMENTARY SCHOOL,32,5,0,0,0,0,0
04,BRADFORD,0081,SOUTHSIDE ELEMENTARY SCHOOL,39,2,0,0,0,0,0
04,BRADFORD,0121,RAINBOW CENTER,9,6,0,0,0,0,0
04,BRADFORD,0131,LAWTEY ELEMENTARY SCHOOL,16,0,0,0,0,0,0
04,BRADFORD,0161,BROOKER ELEMENTARY SCHOOL,9,0,0,0,0,0,0
04,BRADFORD,0171,BRADFORD-UNION TECHNICAL CENTER,17,3,0,0,0,0,0
04,BRADFORD,0172,BRADFORD MIDDLE SCHOOL,32,4,0,0,0,0,0
04,BRADFORD,0181,HAMPTON ELEMENTARY SCHOOL,12,1,0,0,0,0,0
04,BRADFORD,0201,BRADFORD INTERVENTION CENTER,0,3,0,0,0,0,0
04,BRADFORD,9001,BRADFORD DISTRICT OFFICE,14,0,0,0,0,0,0
05,BREVARD,0011,TITUSVILLE HIGH SCHOOL,64,4,6,0,0,0,0
05,BREVARD,0051,OAK PARK ELEMENTARY SCHOOL,55,3,6,0,0,0,3
05,BREVARD,0052,JAMES MADISON MIDDLE SCHOOL,26,3,2,0,0,0,0
05,BREVARD,0061,APOLLO ELEMENTARY SCHOOL,50,1,5,1,0,0,0
05,BREVARD,0072,RIVERVIEW SCHOOL,8,0,0,1,0,0,0
05,BREVARD,0073,SOUTH AREA HEAD START,2,0,0,0,0,0,0
05,BREVARD,0082,NORTH AREA ADULT EDUCATION-DAY PROGRAM,1,0,0,0,0,0,0
05,BREVARD,0089,FIELDSTON PREPARATORY SCHOOL,10,3,0,0,1,0,0
05,BREVARD,0091,COQUINA ELEMENTARY SCHOOL,32,2,1,0,0,1,0
05,BREVARD,0101,MIMS ELEMENTARY SCHOOL,32,0,3,0,0,0,0
05,BREVARD,0141,ANDREW JACKSON MIDDLE SCHOOL,25,5,2,0,0,0,1
05,BREVARD,0151,IMPERIAL ESTATES ELEMENTARY SCHOOL,40,3,3,0,0,0,0
05,BREVARD,0161,ASTRONAUT HIGH SCHOOL,52,2,0,0,1,0,0
05,BREVARD,0181,PINEWOOD ELEMENTARY SCHOOL,32,2,0,0,1,0,0
05,BREVARD,0191,CHALLENGER 7 ELEMENTARY SCHOOL,29,3,0,0,0,0,2
05,BREVARD,0201,ATLANTIS ELEMENTARY SCHOOL,40,0,3,1,0,0,0
05,BREVARD,0301,ENTERPRISE ELEMENTARY SCHOOL,36,1,2,0,0,0,0
